"","count","mean","sd","min","max"
"total_points","38781","3.004023","4.30393","0","24"
"tele_points","9849","2.313737","3.5387","0","12"
"jury_points","9849","2.313027","3.538863","0","12"
"norm_points","38781",".2055957",".2842908","0","1"
