year,from_country_id,to_country_id,total_points,tele_points,jury_points,norm_points,voting_regime,pair_id,numeric_id,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,distw,former_soviet_from_country,former_yugoslav_from_country,scandinavian_from_country,balkan_from_country,former_soviet_to_country,former_yugoslav_to_country,scandinavian_to_country,balkan_to_country,former_soviet,former_yugoslav,scandinavian,balkan,eu_membership,from_gdp_usd,from_gdp_pc_usd,from_log_gdp_usd,from_log_gdp_pc_usd,to_gdp_usd,to_gdp_pc_usd,to_log_gdp_usd,to_log_gdp_pc_usd,gdp_similarity,migrant_stock,migration_source,voting_country_population,migration_intensity,trade_bilateral,trade_openness,log_trade_openness,log_trade_bilateral
1957,DNK,DEU,0,,,0.0,10.0,DNK-DEU,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.62,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DNK,ITA,1,,,0.1,10.0,DNK-ITA,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.937,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DNK,GBR,0,,,0.0,10.0,DNK-GBR,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.4319,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DNK,BEL,2,,,0.2,10.0,DNK-BEL,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.7531,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DNK,CHE,2,,,0.2,10.0,DNK-CHE,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.161,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DNK,AUT,0,,,0.0,10.0,DNK-AUT,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.4196,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,NLD,4,,,0.4,10.0,FRA-NLD,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.9895,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,DNK,0,,,0.0,10.0,FRA-DNK,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.8,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,LUX,0,,,0.0,10.0,FRA-LUX,29,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.1561,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,DEU,6,,,0.6,10.0,FRA-DEU,30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.5815,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,ITA,0,,,0.0,10.0,FRA-ITA,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.5286,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,GBR,0,,,0.0,10.0,FRA-GBR,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6503,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,BEL,0,,,0.0,10.0,FRA-BEL,33,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,526.3351,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,CHE,0,,,0.0,10.0,FRA-CHE,34,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,473.7304,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,FRA,AUT,0,,,0.0,10.0,FRA-AUT,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.7691,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,NLD,1,,,0.1,10.0,DEU-NLD,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.1754,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,FRA,6,,,0.6,10.0,DEU-FRA,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.5815,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,DNK,0,,,0.0,10.0,DEU-DNK,38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.62,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,LUX,0,,,0.0,10.0,DEU-LUX,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,377.74,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,ITA,0,,,0.0,10.0,DEU-ITA,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.826,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,GBR,0,,,0.0,10.0,DEU-GBR,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.641,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,BEL,2,,,0.2,10.0,DEU-BEL,42,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,423.3463,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,CHE,1,,,0.1,10.0,DEU-CHE,43,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,543.4735,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,DEU,AUT,0,,,0.0,10.0,DEU-AUT,44,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,592.3267,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,NLD,1,,,0.1,10.0,ITA-NLD,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.921,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,FRA,0,,,0.0,10.0,ITA-FRA,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.5286,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,DNK,3,,,0.3,10.0,ITA-DNK,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.937,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,LUX,4,,,0.4,10.0,ITA-LUX,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.2117,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,DEU,1,,,0.1,10.0,ITA-DEU,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.826,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,GBR,0,,,0.0,10.0,ITA-GBR,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.006,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,BEL,0,,,0.0,10.0,ITA-BEL,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.702,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,CHE,1,,,0.1,10.0,ITA-CHE,52,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,609.6788,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,ITA,AUT,0,,,0.0,10.0,ITA-AUT,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.9222,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,NLD,3,,,0.3,10.0,LUX-NLD,54,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,290.5541,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,FRA,4,,,0.4,10.0,LUX-FRA,55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,476.1561,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,DNK,0,,,0.0,10.0,LUX-DNK,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.2874,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,DEU,0,,,0.0,10.0,LUX-DEU,57,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,377.74,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,ITA,1,,,0.1,10.0,LUX-ITA,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.2117,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,GBR,1,,,0.1,10.0,LUX-GBR,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0148,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,BEL,0,,,0.0,10.0,LUX-BEL,60,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,191.5976,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,CHE,1,,,0.1,10.0,LUX-CHE,61,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,322.1524,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,LUX,AUT,0,,,0.0,10.0,LUX-AUT,62,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,701.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,FRA,1,,,0.1,10.0,NLD-FRA,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.9895,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,DNK,5,,,0.5,10.0,NLD-DNK,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.1985,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,LUX,0,,,0.0,10.0,NLD-LUX,65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,290.5541,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,DEU,0,,,0.0,10.0,NLD-DEU,66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.1754,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,ITA,2,,,0.2,10.0,NLD-ITA,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.921,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,GBR,1,,,0.1,10.0,NLD-GBR,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.948,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,BEL,0,,,0.0,10.0,NLD-BEL,69,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,160.9283,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,CHE,0,,,0.0,10.0,NLD-CHE,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.4415,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,NLD,AUT,1,,,0.1,10.0,NLD-AUT,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.5513,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,NLD,7,,,0.7,10.0,CHE-NLD,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.4415,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,FRA,0,,,0.0,10.0,CHE-FRA,73,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,473.7304,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
